id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
197,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9569.0,RIBU RUPIAH,2017
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9014.0,RIBU RUPIAH,2017
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,10206.0,RIBU RUPIAH,2017
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10941.0,RIBU RUPIAH,2017
201,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10703.0,RIBU RUPIAH,2017
202,32,JAWA BARAT,3216,KABUPATEN BEKASI,10790.0,RIBU RUPIAH,2017
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8002.0,RIBU RUPIAH,2017
204,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8588.0,RIBU RUPIAH,2017
205,32,JAWA BARAT,3271,KOTA BOGOR,10940.0,RIBU RUPIAH,2017
206,32,JAWA BARAT,3272,KOTA SUKABUMI,10188.0,RIBU RUPIAH,2017
207,32,JAWA BARAT,3273,KOTA BANDUNG,16033.0,RIBU RUPIAH,2017
208,32,JAWA BARAT,3274,KOTA CIREBON,11100.0,RIBU RUPIAH,2017
209,32,JAWA BARAT,3275,KOTA BEKASI,15378.0,RIBU RUPIAH,2017
210,32,JAWA BARAT,3276,KOTA DEPOK,14727.0,RIBU RUPIAH,2017
211,32,JAWA BARAT,3277,KOTA CIMAHI,11353.0,RIBU RUPIAH,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9497.0,RIBU RUPIAH,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,9987.0,RIBU RUPIAH,2017
214,32,JAWA BARAT,3201,KABUPATEN BOGOR,10323.0,RIBU RUPIAH,2018
215,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8618.0,RIBU RUPIAH,2018
216,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7874.0,RIBU RUPIAH,2018
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10203.0,RIBU RUPIAH,2018
218,32,JAWA BARAT,3205,KABUPATEN GARUT,7597.0,RIBU RUPIAH,2018
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7761.0,RIBU RUPIAH,2018
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9190.0,RIBU RUPIAH,2018
