id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_miskin,satuan,tahun
221,32,JAWA BARAT,3205,KABUPATEN GARUT,335.6,RIBU JIWA,2010
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,214.6,RIBU JIWA,2010
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,158.5,RIBU JIWA,2010
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,152.4,RIBU JIWA,2010
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,333.3,RIBU JIWA,2010
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,181.1,RIBU JIWA,2010
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,141.4,RIBU JIWA,2010
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,276.0,RIBU JIWA,2010
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,198.3,RIBU JIWA,2010
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,90.3,RIBU JIWA,2010
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,260.3,RIBU JIWA,2010
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,161.8,RIBU JIWA,2010
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,222.9,RIBU JIWA,2010
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2010
235,32,JAWA BARAT,3271,KOTA BOGOR,90.2,RIBU JIWA,2010
236,32,JAWA BARAT,3272,KOTA SUKABUMI,27.7,RIBU JIWA,2010
237,32,JAWA BARAT,3273,KOTA BANDUNG,118.6,RIBU JIWA,2010
238,32,JAWA BARAT,3274,KOTA CIREBON,35.5,RIBU JIWA,2010
239,32,JAWA BARAT,3275,KOTA BEKASI,148.0,RIBU JIWA,2010
240,32,JAWA BARAT,3276,KOTA DEPOK,49.6,RIBU JIWA,2010
241,32,JAWA BARAT,3277,KOTA CIMAHI,40.1,RIBU JIWA,2010
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,131.6,RIBU JIWA,2010
243,32,JAWA BARAT,3279,KOTA BANJAR,14.9,RIBU JIWA,2010
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,470.5,RIBU JIWA,2011
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,246.1,RIBU JIWA,2011
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,306.6,RIBU JIWA,2011
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,292.2,RIBU JIWA,2011
248,32,JAWA BARAT,3205,KABUPATEN GARUT,330.9,RIBU JIWA,2011
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,211.6,RIBU JIWA,2011
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,156.3,RIBU JIWA,2011
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,150.3,RIBU JIWA,2011
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,328.6,RIBU JIWA,2011
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,178.6,RIBU JIWA,2011
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,139.4,RIBU JIWA,2011
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,272.1,RIBU JIWA,2011
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,195.5,RIBU JIWA,2011
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,89.0,RIBU JIWA,2011
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,256.7,RIBU JIWA,2011
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,159.5,RIBU JIWA,2011
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,219.8,RIBU JIWA,2011
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2011
262,32,JAWA BARAT,3271,KOTA BOGOR,88.9,RIBU JIWA,2011
263,32,JAWA BARAT,3272,KOTA SUKABUMI,27.3,RIBU JIWA,2011
264,32,JAWA BARAT,3273,KOTA BANDUNG,116.9,RIBU JIWA,2011
265,32,JAWA BARAT,3274,KOTA CIREBON,35.0,RIBU JIWA,2011
266,32,JAWA BARAT,3275,KOTA BEKASI,145.9,RIBU JIWA,2011
267,32,JAWA BARAT,3276,KOTA DEPOK,48.9,RIBU JIWA,2011
268,32,JAWA BARAT,3277,KOTA CIMAHI,39.5,RIBU JIWA,2011
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,129.8,RIBU JIWA,2011
270,32,JAWA BARAT,3279,KOTA BANJAR,14.7,RIBU JIWA,2011
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,451.0,RIBU JIWA,2012
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,234.6,RIBU JIWA,2012
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,292.2,RIBU JIWA,2012
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,279.5,RIBU JIWA,2012
275,32,JAWA BARAT,3205,KABUPATEN GARUT,315.8,RIBU JIWA,2012
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,201.5,RIBU JIWA,2012
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,147.8,RIBU JIWA,2012
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,142.3,RIBU JIWA,2012
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,311.3,RIBU JIWA,2012
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,168.6,RIBU JIWA,2012
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,132.9,RIBU JIWA,2012
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,257.3,RIBU JIWA,2012
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,185.4,RIBU JIWA,2012
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,85.0,RIBU JIWA,2012
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,245.1,RIBU JIWA,2012
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,153.1,RIBU JIWA,2012
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,209.9,RIBU JIWA,2012
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2012
289,32,JAWA BARAT,3271,KOTA BOGOR,84.8,RIBU JIWA,2012
290,32,JAWA BARAT,3272,KOTA SUKABUMI,26.0,RIBU JIWA,2012
291,32,JAWA BARAT,3273,KOTA BANDUNG,111.4,RIBU JIWA,2012
292,32,JAWA BARAT,3274,KOTA CIREBON,33.2,RIBU JIWA,2012
293,32,JAWA BARAT,3275,KOTA BEKASI,139.8,RIBU JIWA,2012
294,32,JAWA BARAT,3276,KOTA DEPOK,47.0,RIBU JIWA,2012
295,32,JAWA BARAT,3277,KOTA CIMAHI,37.7,RIBU JIWA,2012
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,123.0,RIBU JIWA,2012
297,32,JAWA BARAT,3279,KOTA BANJAR,13.9,RIBU JIWA,2012
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,499.1,RIBU JIWA,2013
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,222.8,RIBU JIWA,2013
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,267.9,RIBU JIWA,2013
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,271.7,RIBU JIWA,2013
302,32,JAWA BARAT,3205,KABUPATEN GARUT,320.9,RIBU JIWA,2013
